RI,table,variable,type
ACTRIS,actris-in-situ,benz_a_anthracene_det_lim,double
ACTRIS,actris-in-situ,benzo_a_pyrene_amean,double
ACTRIS,actris-in-situ,benzo_a_pyrene_det_lim,double
ACTRIS,actris-in-situ,benzo_bjk_fluoranthenes_amean,double
ACTRIS,actris-in-situ,benzo_bjk_fluoranthenes_det_lim,double
ACTRIS,actris-in-situ,dibenzo_ah_anthracene_amean,double
ACTRIS,actris-in-situ,dibenzo_ah_anthracene_det_lim,double
ACTRIS,actris-in-situ,inden_123cd_pyrene_amean,double
ACTRIS,actris-in-situ,inden_123cd_pyrene_det_lim,double
ACTRIS,actris-in-situ,PFHxS,double
ACTRIS,actris-in-situ,OCDD,double
ACTRIS,actris-in-situ,particle_number_size_distribution_0,double
ACTRIS,actris-in-situ,particle_number_size_distribution_1,double
ACTRIS,actris-in-situ,particle_number_size_distribution_2,double
ACTRIS,actris-in-situ,particle_number_size_distribution_3,double
ACTRIS,actris-in-situ,particle_number_size_distribution_4,double
ACTRIS,actris-in-situ,particle_number_size_distribution_5,double
ACTRIS,actris-in-situ,particle_number_size_distribution_6,double
ACTRIS,actris-in-situ,particle_number_size_distribution_7,double
ACTRIS,actris-in-situ,particle_number_size_distribution_8,double
ACTRIS,actris-in-situ,particle_number_size_distribution_9,double
ACTRIS,actris-in-situ,particle_number_size_distribution_10,double
ACTRIS,actris-in-situ,particle_number_size_distribution_11,double
ACTRIS,actris-in-situ,particle_number_size_distribution_12,double
ACTRIS,actris-in-situ,particle_number_size_distribution_13,double
ACTRIS,actris-in-situ,particle_number_size_distribution_14,double
ACTRIS,actris-in-situ,particle_number_size_distribution_15,double
ACTRIS,actris-in-situ,particle_number_size_distribution_16,double
ACTRIS,actris-in-situ,particle_number_size_distribution_17,double
ACTRIS,actris-in-situ,particle_number_size_distribution_18,double
ACTRIS,actris-in-situ,particle_number_size_distribution_19,double
ACTRIS,actris-in-situ,particle_number_size_distribution_20,double
ACTRIS,actris-in-situ,particle_number_size_distribution_21,double
ACTRIS,actris-in-situ,particle_number_size_distribution_22,double
ACTRIS,actris-in-situ,particle_number_size_distribution_23,double
ACTRIS,actris-in-situ,particle_number_size_distribution_24,double
ACTRIS,actris-in-situ,particle_number_size_distribution_25,double
ACTRIS,actris-in-situ,particle_number_size_distribution_26,double
ACTRIS,actris-in-situ,particle_number_size_distribution_27,double
ACTRIS,actris-in-situ,particle_number_size_distribution_28,double
ACTRIS,actris-in-situ,particle_number_size_distribution_29,double
ACTRIS,actris-in-situ,particle_number_size_distribution_30,double
ACTRIS,actris-in-situ,particle_number_size_distribution_31,double
ACTRIS,actris-in-situ,particle_number_size_distribution_32,double
ACTRIS,actris-in-situ,particle_number_size_distribution_33,double
ACTRIS,actris-in-situ,particle_number_size_distribution_34,double
ACTRIS,actris-in-situ,particle_number_size_distribution_35,double
ACTRIS,actris-in-situ,particle_number_size_distribution_36,double
ACTRIS,actris-in-situ,particle_number_size_distribution_37,double
ACTRIS,actris-in-situ,particle_number_size_distribution_38,double
ACTRIS,actris-in-situ,particle_number_size_distribution_39,double
ACTRIS,actris-in-situ,particle_number_size_distribution_40,double
ACTRIS,actris-in-situ,particle_number_size_distribution_41,double
ACTRIS,actris-in-situ,particle_number_size_distribution_42,double
ACTRIS,actris-in-situ,particle_number_size_distribution_43,double
ACTRIS,actris-in-situ,particle_number_size_distribution_44,double
ACTRIS,actris-in-situ,particle_number_size_distribution_45,double
ACTRIS,actris-in-situ,particle_number_size_distribution_46,double
ACTRIS,actris-in-situ,particle_number_size_distribution_47,double
ACTRIS,actris-in-situ,particle_number_size_distribution_48,double
ACTRIS,actris-in-situ,particle_number_size_distribution_49,double
ACTRIS,actris-in-situ,particle_number_size_distribution_50,double
ACTRIS,actris-in-situ,particle_number_size_distribution_51,double
ACTRIS,actris-in-situ,precipitation_amount_0,double
ACTRIS,actris-in-situ,precipitation_amount_1,double
ACTRIS,actris-in-situ,PCB_201,double
ACTRIS,actris-in-situ,1234678_HpCDD,double
ACTRIS,actris-in-situ,1234678_HpCDF,double
ACTRIS,actris-in-situ,1234789_HpCDF,double
ACTRIS,actris-in-situ,123478_HxCDD,double
ACTRIS,actris-in-situ,123478_HxCDF,double
ACTRIS,actris-in-situ,123678_HxCDF,double
ACTRIS,actris-in-situ,123789_HxCDD,double
ACTRIS,actris-in-situ,123789_HxCDF,double
ACTRIS,actris-in-situ,12378_PeCDD,double
ACTRIS,actris-in-situ,12378_PeCDF,double
ACTRIS,actris-in-situ,234678_HxCDF,double
ACTRIS,actris-in-situ,2378_TCDF,double
ACTRIS,actris-in-situ,OCDF,double
ACTRIS,actris-in-situ,PCB_114,double
ACTRIS,actris-in-situ,PCB_123,double
ACTRIS,actris-in-situ,PCB_126,double
ACTRIS,actris-in-situ,PCB_128,double
ACTRIS,actris-in-situ,PCB_169,double
ACTRIS,actris-in-situ,PCB_77,double
ACTRIS,actris-in-situ,PCB_81,double
ACTRIS,actris-in-situ,2-2-4-trimethylpentane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,2-2-4-trimethylpentane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,2-2-4-trimethylpentane_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,2-2-4-trimethylpentane_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,propene_amean,double
ACTRIS,actris-in-situ,propene_ExpUnc2s,double
ACTRIS,actris-in-situ,propene_precision,double
ACTRIS,actris-in-situ,ammonium_mg N_per_l_0,double
ACTRIS,actris-in-situ,ammonium_mg N_per_l_1,double
ACTRIS,actris-in-situ,ammonium_mg_per_l_0,double
ACTRIS,actris-in-situ,ammonium_mg_per_l_1,double
ACTRIS,actris-in-situ,calcium_0,double
ACTRIS,actris-in-situ,calcium_1,double
ACTRIS,actris-in-situ,chloride_0,double
ACTRIS,actris-in-situ,chloride_1,double
ACTRIS,actris-in-situ,conductivity_0,double
ACTRIS,actris-in-situ,conductivity_1,double
ACTRIS,actris-in-situ,nitrate_mg N_per_l_0,double
ACTRIS,actris-in-situ,nitrate_mg N_per_l_1,double
ACTRIS,actris-in-situ,nitrate_mg_per_l_0,double
ACTRIS,actris-in-situ,nitrate_mg_per_l_1,double
ACTRIS,actris-in-situ,pH_0,double
ACTRIS,actris-in-situ,pH_1,double
ACTRIS,actris-in-situ,potassium_0,double
ACTRIS,actris-in-situ,potassium_1,double
ACTRIS,actris-in-situ,sodium_0,double
ACTRIS,actris-in-situ,sodium_1,double
ACTRIS,actris-in-situ,sulphate_corrected_mg S_per_l_0,double
ACTRIS,actris-in-situ,sulphate_corrected_mg S_per_l_1,double
ACTRIS,actris-in-situ,sulphate_corrected_mg_per_l_0,double
ACTRIS,actris-in-situ,sulphate_corrected_mg_per_l_1,double
ACTRIS,actris-in-situ,sulphate_total_mg S_per_l_0,double
ACTRIS,actris-in-situ,sulphate_total_mg S_per_l_1,double
ACTRIS,actris-in-situ,sulphate_total_mg_per_l_0,double
ACTRIS,actris-in-situ,sulphate_total_mg_per_l_1,double
ACTRIS,actris-in-situ,BDE_25_28,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_amean_0,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_amean_1,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_amean_2,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_amean_3,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_amean_4,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_amean_5,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_amean_6,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_prec1587_0,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_prec1587_1,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_prec1587_2,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_prec1587_3,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_prec1587_4,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_prec1587_5,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_prec1587_6,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_perc8413_0,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_perc8413_1,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_perc8413_2,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_perc8413_3,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_perc8413_4,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_perc8413_5,double
ACTRIS,actris-in-situ,aerosol_absorption_coefficient_perc8413_6,double
ACTRIS,actris-in-situ,PFHxA,double
ACTRIS,actris-in-situ,benz_a_anthracene_aerosol,double
ACTRIS,actris-in-situ,benz_a_anthracene_air,double
ACTRIS,actris-in-situ,benz_a_anthracene_air+aerosol,double
ACTRIS,actris-in-situ,HCBD,double
ACTRIS,actris-in-situ,zinc_pm10_pm25,double
ACTRIS,actris-in-situ,zinc_pm25,double
ACTRIS,actris-in-situ,2-methylpropane_ng_per_m3,double
ACTRIS,actris-in-situ,2-methylpropane_pmol_per_mol,double
ACTRIS,actris-in-situ,ethane_ng_per_m3,double
ACTRIS,actris-in-situ,ethane_pmol_per_mol,double
ACTRIS,actris-in-situ,propane_ng_per_m3,double
ACTRIS,actris-in-situ,propane_pmol_per_mol,double
ACTRIS,actris-in-situ,pm10_mass_det_lim,double
ACTRIS,actris-in-situ,aldrin_aerosol,double
ACTRIS,actris-in-situ,aldrin_air,double
ACTRIS,actris-in-situ,Dx,double
ACTRIS,actris-in-situ,Dxx,double
ACTRIS,actris-in-situ,txph-26,double
ACTRIS,actris-in-situ,txph-50,double
ACTRIS,actris-in-situ,txph-62,double
ACTRIS,actris-in-situ,PCB_151,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_max,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_max,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_min,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_min,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_max,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_max,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_min,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_min,double
ACTRIS,actris-in-situ,PCB_204,double
ACTRIS,actris-in-situ,PCB_122,double
ACTRIS,actris-in-situ,PCB_194,double
ACTRIS,actris-in-situ,PCB_37,double
ACTRIS,actris-in-situ,PCB_99,double
ACTRIS,actris-in-situ,sum_PCB,double
ACTRIS,actris-in-situ,sum_heptachlor_PCB,double
ACTRIS,actris-in-situ,sum_pentachlor_PCB,double
ACTRIS,actris-in-situ,sum_tetrachlor_PCB,double
ACTRIS,actris-in-situ,sum_trichlor_PCB,double
ACTRIS,actris-in-situ,nitrate_ug N_per_m3_amean_Fraction,double
ACTRIS,actris-in-situ,nitrate_ug_per_m3_amean_Fraction,double
ACTRIS,actris-in-situ,nitrate_ug N_per_m3_uncertainty_Fraction,double
ACTRIS,actris-in-situ,nitrate_ug_per_m3_uncertainty_Fraction,double
ACTRIS,actris-in-situ,organic_mass_uncertainty_Fraction,double
ACTRIS,actris-in-situ,ammonium_nitrate,double
ACTRIS,actris-in-situ,oxalate,double
ACTRIS,actris-in-situ,organic_mass,double
ACTRIS,actris-in-situ,NOx_nmol_per_mol,double
ACTRIS,actris-in-situ,NOx_ug N_per_m3,double
ACTRIS,actris-in-situ,1-hexene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,1-hexene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,1-hexene_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,1-hexene_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,1-hexene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,1-hexene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,1-pentene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,1-pentene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,1-pentene_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,1-pentene_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,1-pentene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,1-pentene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,2-2-4-trimethylpentane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,2-2-4-trimethylpentane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,2-methylpropene_amean,double
ACTRIS,actris-in-situ,2-methylpropene_ExpUnc2s,double
ACTRIS,actris-in-situ,2-methylpropene_precision,double
ACTRIS,actris-in-situ,3-methylheptane_amean,double
ACTRIS,actris-in-situ,3-methylheptane_ExpUnc2s,double
ACTRIS,actris-in-situ,3-methylheptane_precision,double
ACTRIS,actris-in-situ,cis-2-pentene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,cis-2-pentene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,cis-2-pentene_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,cis-2-pentene_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,cis-2-pentene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,cis-2-pentene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,methyl-cyclopentane_amean,double
ACTRIS,actris-in-situ,methyl-cyclopentane_ExpUnc2s,double
ACTRIS,actris-in-situ,methyl-cyclopentane_precision,double
ACTRIS,actris-in-situ,n-nonane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,n-nonane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,n-nonane_ng_per_m3_ExpUnc2s,double
ACTRIS,actris-in-situ,n-nonane_pmol_per_mol_ExpUnc2s,double
ACTRIS,actris-in-situ,n-nonane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,n-nonane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,arsenic_pm10,double
ACTRIS,actris-in-situ,arsenic_pm25,double
ACTRIS,actris-in-situ,cadmium_pm10,double
ACTRIS,actris-in-situ,cadmium_pm25,double
ACTRIS,actris-in-situ,copper_pm10,double
ACTRIS,actris-in-situ,lead_pm10,double
ACTRIS,actris-in-situ,nickel_pm10,double
ACTRIS,actris-in-situ,zinc_pm10,double
ACTRIS,actris-in-situ,nitrogen_dioxide_nmol_per_mol_det_lim,double
ACTRIS,actris-in-situ,nitrogen_dioxide_ug N_per_m3_det_lim,double
ACTRIS,actris-in-situ,nitrogen_monoxide_nmol_per_mol_det_lim,double
ACTRIS,actris-in-situ,nitrogen_monoxide_ug N_per_m3_det_lim,double
ACTRIS,actris-in-situ,2-chloronaphthalene,double
ACTRIS,actris-in-situ,PFOS,double
ACTRIS,actris-in-situ,4-methylbenzaldehyde,double
ACTRIS,actris-in-situ,elemental_carbon_pm10,double
ACTRIS,actris-in-situ,elemental_carbon_pm25,double
ACTRIS,actris-in-situ,organic_carbon_pm10,double
ACTRIS,actris-in-situ,organic_carbon_pm25,double
ACTRIS,actris-in-situ,1-2-3-trimethylbenzene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,1-2-3-trimethylbenzene_ug_per_m3_amean,double
ACTRIS,actris-in-situ,1-2-3-trimethylbenzene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,1-2-3-trimethylbenzene_ug_per_m3_precision,double
ACTRIS,actris-in-situ,1-3-5-trimethylbenzene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,1-3-5-trimethylbenzene_ug_per_m3_amean,double
ACTRIS,actris-in-situ,1-3-5-trimethylbenzene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,1-3-5-trimethylbenzene_ug_per_m3_precision,double
ACTRIS,actris-in-situ,2-2-dimethylbutane_amean,double
ACTRIS,actris-in-situ,2-2-dimethylbutane_precision,double
ACTRIS,actris-in-situ,2-4-dimethylpentane_amean,double
ACTRIS,actris-in-situ,2-4-dimethylpentane_precision,double
ACTRIS,actris-in-situ,2-methyl-2-butene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,2-methyl-2-butene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,2-methyl-2-butene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,2-methyl-2-butene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,2-propanol_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,2-propanol_ug_per_m3_amean,double
ACTRIS,actris-in-situ,2-propanol_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,2-propanol_ug_per_m3_precision,double
ACTRIS,actris-in-situ,3-buten-2-one_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,3-buten-2-one_ug_per_m3_amean,double
ACTRIS,actris-in-situ,3-buten-2-one_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,3-buten-2-one_ug_per_m3_precision,double
ACTRIS,actris-in-situ,3-methylhexane_amean,double
ACTRIS,actris-in-situ,3-methylhexane_precision,double
ACTRIS,actris-in-situ,alpha-phellandrene_amean,double
ACTRIS,actris-in-situ,alpha-phellandrene_precision,double
ACTRIS,actris-in-situ,cyclo-hexane_amean,double
ACTRIS,actris-in-situ,cyclo-hexane_precision,double
ACTRIS,actris-in-situ,ethanol_nmol_per_mol_amean,double
ACTRIS,actris-in-situ,ethanol_ug_per_m3_amean,double
ACTRIS,actris-in-situ,ethanol_nmol_per_mol_precision,double
ACTRIS,actris-in-situ,ethanol_ug_per_m3_precision,double
ACTRIS,actris-in-situ,methanol_amean,double
ACTRIS,actris-in-situ,methanol_precision,double
ACTRIS,actris-in-situ,myrcene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,myrcene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,myrcene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,myrcene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,n-butanal_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,n-butanal_ug_per_m3_amean,double
ACTRIS,actris-in-situ,n-butanal_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,n-butanal_ug_per_m3_precision,double
ACTRIS,actris-in-situ,n-decane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,n-decane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,n-decane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,n-decane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,n-dodecane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,n-dodecane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,n-dodecane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,n-dodecane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,n-propanol_nmol_per_mol_amean,double
ACTRIS,actris-in-situ,n-propanol_ug_per_m3_amean,double
ACTRIS,actris-in-situ,n-propanol_nmol_per_mol_precision,double
ACTRIS,actris-in-situ,n-propanol_ug_per_m3_precision,double
ACTRIS,actris-in-situ,n-propylbenzene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,n-propylbenzene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,n-propylbenzene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,n-propylbenzene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,n-undecane_ng_per_m3_amean,double
ACTRIS,actris-in-situ,n-undecane_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,n-undecane_ng_per_m3_precision,double
ACTRIS,actris-in-situ,n-undecane_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,naphthalene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,naphthalene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,naphthalene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,naphthalene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,sabinene_ng_per_m3_amean,double
ACTRIS,actris-in-situ,sabinene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,sabinene_ng_per_m3_precision,double
ACTRIS,actris-in-situ,sabinene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,styrene_pmol_per_mol_amean,double
ACTRIS,actris-in-situ,styrene_ug_per_m3_amean,double
ACTRIS,actris-in-situ,styrene_pmol_per_mol_precision,double
ACTRIS,actris-in-situ,styrene_ug_per_m3_precision,double
ACTRIS,actris-in-situ,BB_101,double
ACTRIS,actris-in-situ,ammonium_ug N_per_m3_det_lim,double
ACTRIS,actris-in-situ,ammonium_ug_per_m3_det_lim,double
ACTRIS,actris-in-situ,calcium_amean,double
ACTRIS,actris-in-situ,calcium_det_lim,double
ACTRIS,actris-in-situ,chloride_det_lim,double
ACTRIS,actris-in-situ,magnesium_amean,double
ACTRIS,actris-in-situ,magnesium_det_lim,double
ACTRIS,actris-in-situ,nitrate_ug N_per_m3_det_lim,double
ACTRIS,actris-in-situ,nitrate_ug_per_m3_det_lim,double
ACTRIS,actris-in-situ,potassium_amean,double
ACTRIS,actris-in-situ,potassium_det_lim,double
ACTRIS,actris-in-situ,sodium_amean,double
ACTRIS,actris-in-situ,sodium_det_lim,double
ACTRIS,actris-in-situ,sulphate_corrected_ug S_per_m3_amean,double
ACTRIS,actris-in-situ,sulphate_corrected_ug_per_m3_amean,double
ACTRIS,actris-in-situ,sulphate_corrected_ug S_per_m3_det_lim,double
ACTRIS,actris-in-situ,sulphate_corrected_ug_per_m3_det_lim,double
ACTRIS,actris-in-situ,sulphate_total_ug S_per_m3_det_lim,double
ACTRIS,actris-in-situ,sulphate_total_ug_per_m3_det_lim,double
ACTRIS,actris-in-situ,aerosol_light_backscattering_coefficient_pm1_amean,double
ACTRIS,actris-in-situ,aerosol_light_backscattering_coefficient_pm10_amean,double
ACTRIS,actris-in-situ,aerosol_light_backscattering_coefficient_pm1_prec1587,double
ACTRIS,actris-in-situ,aerosol_light_backscattering_coefficient_pm10_prec1587,double
ACTRIS,actris-in-situ,aerosol_light_backscattering_coefficient_pm1_perc8413,double
ACTRIS,actris-in-situ,aerosol_light_backscattering_coefficient_pm10_perc8413,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient_pm1_amean,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient_pm10_amean,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient_pm1_prec1587,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient_pm10_prec1587,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient_pm1_perc8413,double
ACTRIS,actris-in-situ,aerosol_light_scattering_coefficient_pm10_perc8413,double
ACTRIS,actris-in-situ,flow_rate,double
ACTRIS,actris-in-situ,butenes_amean,double
ACTRIS,actris-in-situ,butenes_ExpUnc2s,double
ACTRIS,actris-in-situ,isoheptanes_amean,double
ACTRIS,actris-in-situ,isoheptanes_ExpUnc2s,double
ACTRIS,actris-in-situ,isohexanes_amean,double
ACTRIS,actris-in-situ,isohexanes_ExpUnc2s,double
ACTRIS,actris-in-situ,PCB_6,double
ACTRIS,actris-in-situ,dinitrogen_monoxide,double
ACTRIS,actris-in-situ,fluoride,double
ACTRIS,actris-in-situ,nickel_uncertainty,double
ACTRIS,actris-in-situ,PCB_19,double
ACTRIS,actris-in-situ,PCB_131,double
ACTRIS,actris-in-situ,PCB_178,double
ACTRIS,actris-in-situ,erbium,double
ACTRIS,actris-in-situ,nitrite_ug N_per_m3,double
ACTRIS,actris-in-situ,nitrite_ug_per_m3,double
ACTRIS,actris-in-situ,nitrous_acid,double
ACTRIS,actris-in-situ,octachlorostyrene,double
ACTRIS,actris-in-situ,aerosol_optical_depth,double
ACTRIS,actris-in-situ,PCB_85,double
ACTRIS,actris-in-situ,PCB_97,double
ACTRIS,actris-in-situ,DPTE,double
ACTRIS,actris-in-situ,PCB_60,double
ACTRIS,actris-in-situ,hydrogen,double
ACTRIS,actris-in-situ,precipitation_amount_precip_0,double
ACTRIS,actris-in-situ,precipitation_amount_precip_1,double
ACTRIS,actris-in-situ,precipitation_amount_precip_tot_0,double
ACTRIS,actris-in-situ,precipitation_amount_precip_tot_1,double
ACTRIS,actris-in-situ,HCB_precip,double
ACTRIS,actris-in-situ,HCB_precip_tot,double
ACTRIS,actris-in-situ,PCB_101_precip,double
ACTRIS,actris-in-situ,PCB_101_precip_tot,double
ACTRIS,actris-in-situ,PCB_118_precip,double
ACTRIS,actris-in-situ,PCB_118_precip_tot,double
ACTRIS,actris-in-situ,PCB_138_precip,double
ACTRIS,actris-in-situ,PCB_138_precip_tot,double
ACTRIS,actris-in-situ,PCB_153_precip,double
ACTRIS,actris-in-situ,PCB_153_precip_tot,double
ACTRIS,actris-in-situ,PCB_180_precip,double
ACTRIS,actris-in-situ,PCB_180_precip_tot,double
ACTRIS,actris-in-situ,PCB_28_precip,double
ACTRIS,actris-in-situ,PCB_28_precip_tot,double
ACTRIS,actris-in-situ,PCB_52_precip,double
ACTRIS,actris-in-situ,PCB_52_precip_tot,double
ACTRIS,actris-in-situ,aldrin_precip,double
ACTRIS,actris-in-situ,aldrin_precip_tot,double
ACTRIS,actris-in-situ,alpha_HCH_precip,double
ACTRIS,actris-in-situ,alpha_HCH_precip_tot,double
ACTRIS,actris-in-situ,anthracene_precip,double
ACTRIS,actris-in-situ,anthracene_precip_tot,double
ACTRIS,actris-in-situ,benz_a_anthracene_precip,double
ACTRIS,actris-in-situ,benz_a_anthracene_precip_tot,double
ACTRIS,actris-in-situ,benzo_a_pyrene_precip,double
ACTRIS,actris-in-situ,benzo_a_pyrene_precip_tot,double
ACTRIS,actris-in-situ,benzo_b_fluoranthene_precip,double
ACTRIS,actris-in-situ,benzo_b_fluoranthene_precip_tot,double
ACTRIS,actris-in-situ,benzo_ghi_perylene_precip,double
ACTRIS,actris-in-situ,benzo_ghi_perylene_precip_tot,double
ACTRIS,actris-in-situ,benzo_k_fluoranthene_precip,double
ACTRIS,actris-in-situ,benzo_k_fluoranthene_precip_tot,double
ACTRIS,actris-in-situ,chrysene_precip,double
ACTRIS,actris-in-situ,chrysene_precip_tot,double
ACTRIS,actris-in-situ,dibenzo_ah_anthracene_precip,double
ACTRIS,actris-in-situ,dibenzo_ah_anthracene_precip_tot,double
ACTRIS,actris-in-situ,dieldrin_precip,double
ACTRIS,actris-in-situ,dieldrin_precip_tot,double
ACTRIS,actris-in-situ,endrin_precip,double
ACTRIS,actris-in-situ,endrin_precip_tot,double
ACTRIS,actris-in-situ,fluoranthene_precip,double
ACTRIS,actris-in-situ,fluoranthene_precip_tot,double
ACTRIS,actris-in-situ,gamma_HCH_precip,double
ACTRIS,actris-in-situ,gamma_HCH_precip_tot,double
ACTRIS,actris-in-situ,heptachlor_precip,double
ACTRIS,actris-in-situ,heptachlor_precip_tot,double
ACTRIS,actris-in-situ,inden_123cd_pyrene_precip,double
ACTRIS,actris-in-situ,inden_123cd_pyrene_precip_tot,double
ACTRIS,actris-in-situ,op_DDD_precip,double
ACTRIS,actris-in-situ,op_DDD_precip_tot,double
ACTRIS,actris-in-situ,op_DDE_precip,double
ACTRIS,actris-in-situ,op_DDE_precip_tot,double
ACTRIS,actris-in-situ,op_DDT_precip,double
ACTRIS,actris-in-situ,op_DDT_precip_tot,double
ACTRIS,actris-in-situ,phenanthrene_precip,double
ACTRIS,actris-in-situ,phenanthrene_precip_tot,double
ACTRIS,actris-in-situ,pp_DDD_precip,double
ACTRIS,actris-in-situ,pp_DDD_precip_tot,double
ACTRIS,actris-in-situ,pp_DDE_precip,double
ACTRIS,actris-in-situ,pp_DDE_precip_tot,double
ACTRIS,actris-in-situ,pp_DDT_precip,double
