sourceVocabTitle,targetVocabTitle,dtidentifier,dtpreferredLabel,Relationship,identifier,preferredLabel,DateCreated,Creator,mappingUrl,Status
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX039,"Concentration of 2,2',3,4',5'-pentachlorobiphenyl {PCB97 2,2',3',4,5-pentachlorobiphenyl CAS 41464-51-1} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD112,"Concentration of 2,2',3,4',5'-pentachlorobiphenyl {PCB97 2,2',3',4,5-pentachlorobiphenyl CAS 41464-51-1} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530868/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX038,"Concentration of 2,2',3,4,5'-pentachlorobiphenyl {PCB87 CAS 38380-02-8} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD087,"Concentration of 2,2',3,4,5'-pentachlorobiphenyl {PCB87 CAS 38380-02-8} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531146/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX038,"Concentration of 2,2',3,4,5'-pentachlorobiphenyl {PCB87 CAS 38380-02-8} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD118,"Concentration of 2,2',3,4,5'-pentachlorobiphenyl {PCB87 CAS 38380-02-8} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530840/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX037,"Concentration of 2,2',3,4,4'-pentachlorobiphenyl {PCB85 CAS 65510-45-4} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD086,"Concentration of 2,2',3,4,4'-pentachlorobiphenyl {PCB85 CAS 65510-45-4} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1531145/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX037,"Concentration of 2,2',3,4,4'-pentachlorobiphenyl {PCB85 CAS 65510-45-4} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD117,"Concentration of 2,2',3,4,4'-pentachlorobiphenyl {PCB85 CAS 65510-45-4} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530882/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX036,"Concentration of 2,3,3',4'-tetrachlorobiphenyl {PCB56 CAS 41464-43-1} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD103,"Concentration of 2,3,3',4'-tetrachlorobiphenyl {PCB56 CAS 41464-43-1} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530834/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX036,"Concentration of 2,3,3',4'-tetrachlorobiphenyl {PCB56 CAS 41464-43-1} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD134,"Concentration of 2,3,3',4'-tetrachlorobiphenyl {PCB56 CAS 41464-43-1} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530893/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX035,"Concentration of 2,2',4,5'-tetrachlorobiphenyl {PCB49 CAS 41464-40-8} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD096,"Concentration of 2,2',4,5'-tetrachlorobiphenyl {PCB49 CAS 41464-40-8} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530829/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX035,"Concentration of 2,2',4,5'-tetrachlorobiphenyl {PCB49 CAS 41464-40-8} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD127,"Concentration of 2,2',4,5'-tetrachlorobiphenyl {PCB49 CAS 41464-40-8} per unit dry weight of sediment <63um by gas chromatography-electron capture detection",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530856/,accepted
BODC Parameter Usage Vocabulary,BODC Parameter Usage Vocabulary,SDN:P01::C29CX034,"Concentration of 2,2',4,4'-tetrachlorobiphenyl {PCB47 CAS 2437-79-8} per unit dry weight of sediment <63um",narrower,SDN:P01::PCBSD095,"Concentration of 2,2',4,4'-tetrachlorobiphenyl {PCB47 CAS 2437-79-8} per unit dry weight of sediment <63um by gas chromatography",2018-08-23 01:08:19,Gwenaelle Moncoiffe,http://vocab.nerc.ac.uk/mapping/I/1530828/,accepted
